dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
E2_CIC,RF,0.9753 ± 0.0013,0.9758 ± 0.0017,0.9242 ± 0.0046,0.9766 ± 0.0033,0.9497 ± 0.0026,0.9667 ± 0.0018,0.0251 ± 0.0017,0.9340 ± 0.0034,0.9935 ± 0.0006,0.9713 ± 0.0031
E2_CIC,XGB,0.9770 ± 0.0012,0.9782 ± 0.0019,0.9274 ± 0.0045,0.9804 ± 0.0042,0.9532 ± 0.0025,0.9690 ± 0.0016,0.0240 ± 0.0016,0.9386 ± 0.0033,0.9941 ± 0.0005,0.9759 ± 0.0023
E2_CIC,AdaBoost,0.9716 ± 0.0017,0.9785 ± 0.0018,0.8997 ± 0.0056,0.9916 ± 0.0035,0.9434 ± 0.0032,0.9622 ± 0.0022,0.0346 ± 0.0022,0.9265 ± 0.0042,0.9909 ± 0.0006,0.9548 ± 0.0041
E2_CIC,DT,0.9644 ± 0.0017,0.9503 ± 0.0030,0.9270 ± 0.0032,0.9234 ± 0.0057,0.9252 ± 0.0037,0.9509 ± 0.0024,0.0228 ± 0.0010,0.9018 ± 0.0048,0.9503 ± 0.0030,0.8742 ± 0.0057
E2_CIC,KNN,0.9734 ± 0.0012,0.9729 ± 0.0018,0.9208 ± 0.0044,0.9719 ± 0.0039,0.9456 ± 0.0024,0.9640 ± 0.0016,0.0262 ± 0.0016,0.9286 ± 0.0032,0.9896 ± 0.0009,0.9430 ± 0.0044
