dataset,model,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,macro_f1,FAR,MCC,roc_auc,pr_auc
E2_UNSW,RF,0.9185 ± 0.0029,0.8711 ± 0.0041,0.8644 ± 0.0083,0.7805 ± 0.0075,0.8203 ± 0.0063,0.8838 ± 0.0040,0.0383 ± 0.0027,0.7694 ± 0.0081,0.9655 ± 0.0018,0.9153 ± 0.0048
E2_UNSW,XGB,0.9228 ± 0.0024,0.8706 ± 0.0041,0.8909 ± 0.0074,0.7708 ± 0.0080,0.8265 ± 0.0057,0.8884 ± 0.0036,0.0296 ± 0.0023,0.7806 ± 0.0071,0.9702 ± 0.0015,0.9260 ± 0.0036
E2_UNSW,AdaBoost,0.8338 ± 0.0058,0.6898 ± 0.0163,0.7894 ± 0.0250,0.4146 ± 0.0381,0.5422 ± 0.0308,0.7203 ± 0.0166,0.0350 ± 0.0074,0.4884 ± 0.0225,0.9032 ± 0.0044,0.7504 ± 0.0100
E2_UNSW,DT,0.8995 ± 0.0026,0.8555 ± 0.0048,0.8002 ± 0.0075,0.7713 ± 0.0106,0.7855 ± 0.0060,0.8599 ± 0.0038,0.0603 ± 0.0031,0.7202 ± 0.0075,0.8661 ± 0.0047,0.6884 ± 0.0073
E2_UNSW,KNN,0.9042 ± 0.0033,0.8471 ± 0.0056,0.8411 ± 0.0080,0.7378 ± 0.0107,0.7860 ± 0.0080,0.8622 ± 0.0050,0.0436 ± 0.0025,0.7273 ± 0.0098,0.9314 ± 0.0046,0.8407 ± 0.0070
